Client	Time
318	0.007240
264	0.007410
302	0.007329
300	0.007368
296	0.007388
291	0.007406
282	0.007432
292	0.007409
257	0.007507
278	0.007452
323	0.007315
320	0.007340
298	0.007412
287	0.007463
349	0.007239
312	0.007395
295	0.007457
337	0.007309
355	0.007231
327	0.007348
307	0.007433
326	0.007361
333	0.007342
305	0.007450
336	0.007338
303	0.007461
316	0.007430
331	0.007371
306	0.007475
364	0.007242
286	0.007542
341	0.007342
375	0.007211
314	0.007467
329	0.007422
315	0.007486
352	0.007333
319	0.007484
339	0.007400
317	0.007498
347	0.007373
377	0.007254
335	0.007440
322	0.007495
353	0.007365
328	0.007474
343	0.007439
340	0.007455
310	0.007578
345	0.007447
309	0.007600
344	0.007468
321	0.007574
332	0.007543
357	0.007440
379	0.007357
334	0.007553
338	0.007556
350	0.007500
351	0.007511
365	0.007473
301	0.007726
360	0.007517
383	0.007434
380	0.007449
361	0.007532
370	0.007497
362	0.007530
385	0.007441
367	0.007530
372	0.007513
374	0.007506
358	0.007576
356	0.007586
387	0.007454
398	0.007399
464	0.007048
425	0.007269
369	0.007553
354	0.007617
381	0.007515
401	0.007415
382	0.007534
366	0.007612
324	0.007788
373	0.007596
408	0.007435
399	0.007492
376	0.007614
346	0.007740
389	0.007566
388	0.007573
409	0.007472
348	0.007745
342	0.007775
371	0.007659
410	0.007483
359	0.007723
400	0.007534
419	0.007445
378	0.007658
420	0.007452
459	0.007242
397	0.007577
395	0.007588
403	0.007560
330	0.007886
402	0.007571
368	0.007737
363	0.007770
416	0.007515
390	0.007670
421	0.007516
496	0.007066
445	0.007394
391	0.007684
392	0.007682
434	0.007468
413	0.007589
394	0.007680
404	0.007637
405	0.007640
437	0.007474
396	0.007699
411	0.007632
406	0.007660
407	0.007657
475	0.007274
474	0.007296
412	0.007658
393	0.007751
452	0.007442
435	0.007544
424	0.007605
386	0.007808
423	0.007626
440	0.007539
469	0.007372
453	0.007462
456	0.007453
463	0.007423
461	0.007444
414	0.007713
449	0.007521
384	0.007867
436	0.007600
432	0.007625
448	0.007540
422	0.007685
454	0.007507
418	0.007708
443	0.007589
426	0.007700
433	0.007665
415	0.007774
484	0.007368
417	0.007763
450	0.007587
455	0.007558
522	0.007105
429	0.007738
442	0.007677
460	0.007572
467	0.007540
439	0.007716
457	0.007612
446	0.007680
451	0.007657
473	0.007541
444	0.007715
885	0.003311
462	0.007617
441	0.007747
472	0.007574
430	0.007823
476	0.007556
427	0.007850
955	0.002288
510	0.007341
480	0.007547
438	0.007809
447	0.007760
465	0.007684
471	0.007656
517	0.007328
428	0.007905
483	0.007577
431	0.007897
470	0.007677
508	0.007417
479	0.007617
482	0.007604
501	0.007479
494	0.007536
481	0.007615
498	0.007506
500	0.007495
458	0.007785
478	0.007674
516	0.007413
466	0.007770
468	0.007764
485	0.007656
488	0.007653
489	0.007652
491	0.007642
509	0.007513
565	0.007085
490	0.007667
532	0.007362
503	0.007578
743	0.005330
506	0.007575
487	0.007721
961	0.002410
526	0.007437
531	0.007417
